               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,              0.0319,             0.04217,           0.0024003,             0.73228,             0.65929,             0.66559,             0.39079,            0.047225,            0.055817,           0.0047471,            0.006172,            0.006172,            0.006172
                  60,            0.031723,            0.041695,           0.0024058,             0.74945,             0.59882,             0.64818,              0.3824,            0.047382,            0.057276,           0.0047744,            0.006106,            0.006106,            0.006106
                  61,            0.031862,            0.041726,           0.0024637,             0.70367,              0.6625,             0.67322,             0.39048,            0.046794,            0.056765,           0.0043124,             0.00604,             0.00604,             0.00604
                  62,            0.031698,            0.041567,           0.0024195,             0.77197,             0.64303,             0.68957,             0.39885,            0.046225,            0.055506,           0.0043351,            0.005974,            0.005974,            0.005974
                  63,            0.031085,            0.040541,           0.0022303,             0.75519,             0.62216,             0.66548,             0.38692,            0.046874,            0.057054,           0.0045387,            0.005908,            0.005908,            0.005908
                  64,            0.031076,            0.040154,           0.0022758,             0.75992,             0.60573,             0.64859,             0.37514,            0.047762,             0.05811,           0.0048945,            0.005842,            0.005842,            0.005842
                  65,            0.031102,            0.041089,           0.0023261,             0.72943,             0.61786,             0.65815,             0.38182,             0.04667,            0.056585,           0.0042566,            0.005776,            0.005776,            0.005776
                  66,            0.031176,            0.041048,           0.0023767,             0.70785,             0.64125,             0.65627,             0.38353,            0.047178,            0.056947,           0.0046251,             0.00571,             0.00571,             0.00571
                  67,            0.030729,            0.040485,           0.0023485,             0.75996,             0.62191,             0.66688,             0.39562,            0.047104,            0.057795,            0.004946,            0.005644,            0.005644,            0.005644
                  68,            0.030497,            0.039526,            0.002264,             0.77911,             0.61302,             0.66635,             0.39263,            0.047197,            0.057698,           0.0046839,            0.005578,            0.005578,            0.005578
                  69,            0.030401,            0.039621,           0.0022564,             0.73844,             0.62065,             0.65329,             0.39477,             0.04738,            0.057882,           0.0050682,            0.005512,            0.005512,            0.005512
                  70,            0.030181,             0.03891,           0.0024027,             0.77097,             0.61533,             0.66954,             0.39337,            0.047671,            0.059667,           0.0045462,            0.005446,            0.005446,            0.005446
                  71,            0.030483,            0.039145,           0.0021778,             0.70345,              0.6544,             0.66645,               0.393,            0.047155,            0.057531,           0.0043524,             0.00538,             0.00538,             0.00538
                  72,            0.029954,            0.038993,           0.0023062,             0.75498,             0.61348,             0.67013,             0.39582,            0.047657,            0.059127,           0.0046978,            0.005314,            0.005314,            0.005314
                  73,            0.030178,            0.039593,           0.0022912,              0.7612,             0.60563,             0.66449,             0.38398,            0.047694,            0.059688,            0.004895,            0.005248,            0.005248,            0.005248
                  74,             0.03002,            0.039122,           0.0021804,              0.7668,             0.61587,             0.67229,             0.39974,            0.047051,            0.058788,            0.004491,            0.005182,            0.005182,            0.005182
                  75,            0.029114,            0.037915,           0.0021628,             0.77653,             0.57037,             0.64883,             0.37869,            0.047395,            0.061276,            0.004796,            0.005116,            0.005116,            0.005116
                  76,            0.029686,            0.038339,           0.0022419,             0.74343,             0.62185,             0.66474,             0.39214,            0.047553,             0.05906,           0.0048256,             0.00505,             0.00505,             0.00505
                  77,            0.029449,            0.039244,           0.0021341,             0.74421,             0.60124,             0.65756,             0.39286,            0.047774,             0.06126,           0.0051357,            0.004984,            0.004984,            0.004984
                  78,            0.029455,            0.037859,           0.0020955,             0.71649,             0.62354,             0.64519,             0.38702,            0.047283,            0.060409,           0.0046261,            0.004918,            0.004918,            0.004918
                  79,            0.029447,            0.038429,            0.002272,             0.77739,             0.60033,             0.65713,             0.39132,            0.047593,             0.06102,           0.0047114,            0.004852,            0.004852,            0.004852
                  80,            0.029342,            0.038111,           0.0021807,             0.72407,             0.61605,             0.65937,             0.39294,            0.047651,            0.061708,           0.0048075,            0.004786,            0.004786,            0.004786
                  81,            0.029139,            0.037877,           0.0020748,             0.70653,             0.63345,             0.65835,             0.39139,             0.04717,            0.060647,           0.0046005,             0.00472,             0.00472,             0.00472
                  82,            0.028628,            0.037664,           0.0020569,              0.7408,             0.61772,             0.65655,             0.38988,            0.048302,             0.06162,           0.0048373,            0.004654,            0.004654,            0.004654
                  83,            0.028349,            0.036729,           0.0022014,             0.74889,             0.61444,             0.65319,             0.39082,            0.047564,            0.061914,           0.0045129,            0.004588,            0.004588,            0.004588
                  84,             0.02845,             0.03688,           0.0020736,             0.75314,              0.6226,              0.6556,             0.39508,            0.047628,            0.061762,           0.0043924,            0.004522,            0.004522,            0.004522
                  85,            0.027942,            0.036938,           0.0021076,             0.72991,             0.62622,             0.66277,              0.3945,            0.047389,            0.060617,           0.0041839,            0.004456,            0.004456,            0.004456
                  86,            0.028086,               0.036,           0.0021326,             0.75426,             0.59835,             0.64765,             0.38526,            0.047246,            0.061278,           0.0044947,             0.00439,             0.00439,             0.00439
                  87,            0.028319,            0.037293,           0.0020678,             0.74095,             0.62354,             0.65698,             0.39047,            0.047336,            0.059815,           0.0045502,            0.004324,            0.004324,            0.004324
                  88,            0.027848,            0.036216,           0.0021277,             0.73095,             0.61973,              0.6575,              0.3926,            0.047754,            0.062721,           0.0043484,            0.004258,            0.004258,            0.004258
                  89,            0.027825,             0.03655,           0.0019621,             0.72931,              0.6299,             0.66223,             0.39623,            0.047108,            0.061014,           0.0039871,            0.004192,            0.004192,            0.004192
